route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FS,1,FS,Shattuck - University Transbay,,3,https://www.actransit.org/bus-lines-schedules/FS,BC8E2D,000000
G,1,G,Colusa - Solano Transbay,,3,https://www.actransit.org/bus-lines-schedules/G,BC8E2D,000000
J,1,J,Sacramento -  Christie Transbay,,3,https://www.actransit.org/bus-lines-schedules/J,BC8E2D,000000
L,1,L,San Pablo - Pierce Transbay,,3,https://www.actransit.org/bus-lines-schedules/L,BC8E2D,000000
LA,1,LA,Hilltop - Richmond Pkwy Transbay,,3,https://www.actransit.org/bus-lines-schedules/LA,BC8E2D,000000
NL,1,NL,MacArthur Transbay Limited,,3,https://www.actransit.org/bus-lines-schedules/NL,2B589C,FFFFFF
NX,1,NX,Grand Lake - Laurel  Transbay,,3,https://www.actransit.org/bus-lines-schedules/NX,BC8E2D,000000
NX3,1,NX3,MacArthur - Eastmont Transbay,,3,https://www.actransit.org/bus-lines-schedules/NX3,BC8E2D,000000
O,1,O,Santa Clara - Encinal Transbay,,3,https://www.actransit.org/bus-lines-schedules/O,2B589C,FFFFFF
OX,1,OX,Bay Farm - Park St. Transbay,,3,https://www.actransit.org/bus-lines-schedules/OX,BC8E2D,000000
P,1,P,Piedmont - Oakland Ave. Transbay,,3,https://www.actransit.org/bus-lines-schedules/P,BC8E2D,000000
U,1,U,Stanford - Dumbarton - Fremont,,3,https://www.actransit.org/bus-lines-schedules/U,BC8E2D,000000
V,1,V,Montclair - Park Blvd. Transbay,,3,https://www.actransit.org/bus-lines-schedules/V,BC8E2D,000000
W,1,W,High - South Shore Transbay,,3,https://www.actransit.org/bus-lines-schedules/W,BC8E2D,000000
